"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"3568","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/18_100/0009116","Instalace nuceného větrání s rekuperací tepla v Základní škole Pěší 66/1","Původní budova školy byla postavena v roce 1896. Předmětem projektu je rovnotlaké nucené větrání s rekuperací tepla z odváděného vzduchu. Místo stavby: Pěší 66/1, 712 00 Ostrava-Muglinov, parc.č. st. 12/5, k.ú. Muglinov","Statutární město Ostrava","00845451","Obec",70200,2019-06-28,"08.06.2020","28.02.2022",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ080","Moravskoslezský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.699999998023634,2529895.95,1770927.16,758968.79,0,2529895.95,1770927.16,"Ne"
"3569","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/18_100/0009117","Instalace nuceného větrání s rekuperací tepla v Základní škole Chrustova 1418/24","Budova školy byla postavena v roce 1956. Kapacita školy je 400 žáků, jedenáct tříd a dvě oddělení školní družiny. Předmětem projektu je rovnotlaké nucené větrání s rekuperací tepla z odváděného vzduchu. Místo stavby: Chrustova 1418/24, 713 00 Slezská Ostrava, parc.č. 5036, k.ú. Slezská Ostrava","Statutární město Ostrava","00845451","Obec",70200,2019-07-17,"08.06.2020","28.02.2022",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ080","Moravskoslezský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.7,3960789,2772552.3,1188236.7,0,3022479.57,2115735.69,"Ne"
"3570","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/18_100/0009119","Instalace nuceného větrání s rekuperací tepla v Základní škole Bohumínská 1082/72","Budova školy byla postavena v roce 1965. Kapacita školy je 600 žáků, počet žáků je 400. Předmětem projektu je rovnotlaké nucené větrání s rekuperací tepla z odváděného vzduchu. Místo stavby: Bohumínská 1082/72, 710 00 Slezská Ostrava, parc. č. 1463, k.ú. Slezská Ostrava.","Statutární město Ostrava","00845451","Obec",70200,2019-07-17,"08.06.2020","28.02.2022",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ080","Moravskoslezský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.699999998434562,5110390.94,3577273.65,1533117.29,0,5110390.94,3577273.65,"Ne"
"3571","OP D","04.1 Infrastruktura pro železniční a další udržitelnou dopravu","CZ.04.1.40/0.0/0.0/18_056/0000415","Tramvajová trať II.etapa Nové Sady - Povel a Odstavy tramvají Jeremenkova","Předmětem projektu je vybudování nové tramvajové trati o délce cca 1100 m v místní části Nové Sady a Povel v Olomouci s cílem zlepšení dopravní obslužnosti místní části Nové sady a Povel veřejnou hromadnou dopravou šetrnou k životnímu prostředí a vytvoření podmínek pro zvýšení využívání veřejné hromadné dopravy ve městě v elektrické trakci a dále vybudování areálu pro odstavy tramvají jako nezbytného technického zázemí drážní dopravy pro zajištění provozuschopnosti tramvajového provozu.","Statutární město Olomouc","00299308","Obec",77900,2020-12-22,"08.10.2020","30.06.2023",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ071","Olomoucký kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","FS",0.85,757712758,644055844.3,113656913.7,0,250626681.82,213032679.52,"Ne"
"3572","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/18_128/0009003","Výsadby v intravilánu Města Broumov","Projekt  je zaměřen na nové výsadby a dosadby stromů a keřů ve vybraných lokalitách v intravilánu města Broumova. Nová výsadba a údržba stávající zeleně výrazně přispěje k udržení a zlepšení funkcí městské zeleně a zvýší provozní bezpečnost a zdraví obyvatel města. Realizací projektu bude zachována migrační prostupnost zastavěným územím města a podpořena kontinuita zachování zelených ploch jako významných refugií biodiverzity v zastavěném území města.","MĚSTO BROUMOV","00272523","Obec",55001,2019-05-24,"01.08.2019","31.07.2023",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ052","Královéhradecký kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",0.6,2674231,1604538.6,1069692.4,0,2484124.42,1490474.64,"Ne"
"3573","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004758","ORP Žamberk Územní studie - Helvíkovice, Písečná, Klášterec nad Orlicí","Obsahem projektu je pořízení tří dokumentů územního rozvoje, které budou zpracovány pro obce Helvíkovice, Písečná a Klášterec nad Orlicí, které se nacházejí na území správního obvodu obce s rozšířenou působností Žamberk. Jedná se o územní studie veřejného prostranství.","Město Žamberk","00279846","Obec",56401,2017-09-25,"10.03.2017","10.11.2017","10.11.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ053","Pardubický kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,271320,230622,40698,0,270777.36,230160.75,"Ne"
"3574","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/15_016/0000809","Rekonstrukce chodníků ulice Kojetická","Předmětem projektu je oprava komunikací pro pěší v ulici Kojetická v Neratovicích s délkou 750m. Tato komunikace je velmi vytížena, neboť navazuje na městský úřad, polikliniku, dům pro seniory a další. Součástí rekonstrukce je i úprava přechodů a zastávek MHD.","Město Neratovice","00237108","Obec",27711,2016-12-30,"03.02.2016","31.08.2017","31.08.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","EFRR",0.849999999655762,11619876.84,9876895.31,1742981.53,0,7999055.21,6799196.92,"Ne"
"3575","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.24/0.0/0.0/18_102/0009060","Zpracování digitálního povodňového plánu pro město Vlašim a území ORP Vlašim a vybudování varovného a výstražného systému ochrany před povodněmi pro město Vlašim","Zpracování digitálního povodňového plánu pro město Vlašim a území ORP Vlašim a vybudování varovného a výstražného systému ochrany před povodněmi pro město Vlašim","Město Vlašim","00232947","Obec",25801,2019-05-10,"11.05.2020","31.01.2022","04.01.2022",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","IV.4.088","Předcházení rizikům a řízení přírodních rizik nesouvisejících se změnou klimatu (zemětřesení) a rizik souvisejících s lidskou činností (například technologických nehod), včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof","FS",0.7,8516754,5961727.8,2555026.2,0,8516754,5961727.8,"Ne"
"3576","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.56/0.0/0.0/16_032/0002959","Stavební úpravy objektu č.p.650 pro sociální bydlení","Předmětem projektu jsou stavební úpravy stávajícího objektu s číslem popisným 650, na ulici Opavská v Bílovci, který je v havarijním stavu. Realizací projektu dojde k vybudování 6 bytových jednotek pro sociální bydlení s kapacitou 16 lůžek.","Město Bílovec","00297755","Obec",74301,2018-03-27,"19.10.2016","31.12.2019","31.12.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","III.0.054","Bytová infrastruktura","EFRR",0.849999999668175,7534081.05,6403968.89,1130112.16,0,6874048.72,5842941.4,"Ne"
"3577","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.56/0.0/0.0/16_040/0002250","Rekonstrukce zázemí a zkvalitnění vybavení azylového domu Psychocentra Domeček Hodonín, o.p.s.","Náplní a cílem projektu je rozvoj a zkvalitnění poskytování registrované sociální služby azylový dům prostřednictvím rekonstrukce jeho vnitřních prostor a pořízení nového vybavení a zařízení.  Rozvoj služby je vázán na základní parametry tzv. materiálně technického standardu pro pobytové formy sociálních služeb (viz plánovaná novela zákona o sociálních službách vstupující v platnost od 1.4.2017).","Město Hodonín","00284891","Obec",69501,2017-09-05,"01.07.2016","30.09.2018","30.09.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","III.0.055","Jiná sociální infrastruktura přispívající k regionálnímu a místnímu rozvoji","EFRR",0.849999998660851,3733713.5,3173656.47,560057.03,0,3356859.11,2853330.24,"Ne"
"3578","OP Z","03.4 Efektivní veřejná správa","CZ.03.4.74/0.0/0.0/16_033/0002972","Rozvoj strategického řízení a řízení lidských zdrojů ve městě Bílovci","Projekt reaguje na aktuální problémy a potřeby identifikované ve městě Bílovec, kdy hlavním cílem projektu je zlepšit a zefektivnit strategické plánování a řízení ve městě Bílovec a současně zkvalitnit a zefektivnit systém řízení lidských zdrojů na MěÚ Bílovec.    Celkový rozpočet projektu je 6.777.987,30 Kč.","Město Bílovec","00297755","Obec",74301,2017-02-23,"01.01.2017","31.03.2019","31.03.2019",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ080","Moravskoslezský kraj","VIII.0.119; VIII.0.119","Investice do institucionální kapacity a účinnosti veřejné správy a veřejných služeb na celostátní, regionální a místní úrovni za účelem reforem, zlepšování právní úpravy a řádné správy; Investice do institucionální kapacity a účinnosti veřejné správy a veřejných služeb na celostátní, regionální a místní úrovni za účelem reforem, zlepšování právní úpravy a řádné správy","ESF; ESF",0.849999999262318,6777987.3,5761289.2,1016698.1,0,5934893.65,5044659.56,"Ano"
"3579","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/15_018/0000438","Regenerace panelového domu č.p. 2842, Zavadilská ul., Tábor","Projekt je zaměřen na rekonstrukci panelového domu v Táboře, Zavadilské ulici. Budova má 10 pater a 85 bytů. Stáří domu je 35 let. Předmětem rekonstrukce je provedení kontaktního zateplovacího systému a to včetně výměny výplní otvorů a zateplení střechy, nezbytných souvisejících udržovacích prací a oprav vad. Cílem aktivit je snížit energetickou náročnost objektu díky novému zateplovacímu systému.","Město Tábor","00253014","Obec",39001,2016-09-22,"21.03.2017","31.08.2017","28.08.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.254999999438252,9612843.08,2451274.98,7161568.1,0,8448894.93,2154468.2,"Ne"
"3580","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_066/0005763","ITI - Modernizace učeben ZŠ Chrustova, odloučené pracoviště Škrobálkova","Cílem projektu je provést modernizaci učebny, zahrnující drobné stavební úpravy a pořízení nového vybavení. Součástí projektu je také zajištění vnitřní konektivity školy a vybudování bezbariérového přístupu do rekonstruované učebny (včetně vstupu do školy a na toalety). V rámci tohoto projektu dojde k modernizaci počítačové učebny.","Statutární město Ostrava","00845451","Obec",70200,2018-03-21,"15.03.2017","30.09.2018","30.09.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999623448,3983513.39,3385986.38,597527.01,0,3983513.37,3385986.36,"Ne"
"3581","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004738","Územní studie veřejných prostranství ve městě Roudnice nad Labem","Předmětem projektu je zpracování Územní studie veřejných prostranství ve městě Roudnice nad Labem, v  souladu s platnými právními předpisy, v rozsahu stanoveném zadávacími podmínkami a Zadáním Územní studie veřejných prostranství ve městě Roudnice nad Labem.","Město Roudnice nad Labem","00264334","Obec",41301,2017-08-24,"08.03.2017","31.12.2018","12.12.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,2165400,1840590,324810,0,2165400,1840590,"Ne"
"3582","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004737","Územní studie veřejné dopravní infrastruktury ve vazbě na TEN-T na území ORP Roudnice nad Labem","Předmětem projektu je zpracování Územní studie veřejné dopravní infrastruktury ve vazbě na TEN-T na území ORP Roudnice nad Labem, v souladu s platnými právními předpisy, v rozsahu stanoveném Zadáním Územní studie veřejné dopravní infrastruktury ve vazbě na TEN-T na území ORP Roudnice nad Labem.","Město Roudnice nad Labem","00264334","Obec",41301,2017-08-24,"23.02.2017","30.06.2018","18.06.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,2e+05,170000,30000,0,2e+05,170000,"Ne"
"3583","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/17_070/0005529","Regenerace pláště budovy stravovny ZŠ Partyzánská, Česká Lípa","Předmětem projektu je snížení energetické náročnosti objektu školní stravovny ZŠ Partyzánská, Česká Lípa. V rámci projektu bude provedena regenerace pláště stravovny,  tedy zatepleni fasády, střechy a výměna dosud nevyměněných výplni otvorů včetně střešních světlíků. Dále budou provedeny stavební úpravy vstupu a sociálního zázemí a úpravy VZT pro nucené větrání. Stravovna se nachází na parcele č. 3630/2, k.ú. Česká Lípa.  Staveniště bude zasahovat také na parcely 3631, 3633/1 a 3630/1.","Město Česká Lípa","00260428","Obec",47001,2018-04-16,"07.08.2017","31.07.2020","28.07.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ051","Liberecký kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.399999998334497,4803353.72,1921341.48,2882012.24,0,4803353.72,1921341.48,"Ne"
"3584","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0002585","Snížení energetické náročnosti BD Vrchlického 504, Kralupy nad Vltavou","Předmětem projektu jsou stavební úpravy bytového domu Vrchlického 504, ve městě Kralupy nad Vltavou, za účelem snížení energetické náročnosti objektu. Pro snížení energetické náročnosti objektu je navrženo zateplení obvodových stěn objektu, ploché i šikmé střechy, stropů pod půdou a stropu nad suterénem. Dále budou vyměněna všechna původní okna.","Město Kralupy nad Vltavou","00236977","Obec",27801,2017-03-10,"01.11.2015","15.12.2017","11.12.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.3,1394829.3,418448.79,976380.51,0,923006.84,276902.05,"Ne"
"3585","OP ZP","05.5 Energetické úspory","CZ.05.5.11/0.0/0.0/17_061/0009541","Knihovna se spolkovou činností v Dobříši","Jedná se o novostavbu Knihovny se spolkovou činností v Dobříši v místě bývalého kina, které je v současnosti v nevyhovujícím stavu a je navrženo k odstranění. Dojde k výstavbě nové budovy se třemi nadzemními, jedním podzemním podlažím a s podkrovím. Součástí návrhu jsou související objekty jako navazující anglický dvorek, přístřešky pro popelnice , zpevněné plochy, (parkování, chodníky), přípojky a přeložky inženýrských sítí, venkovní osvětlení, vrty pro tepelná čerpadla.","Město Dobříš","00242098","Obec",26301,2019-11-11,NA,"31.12.2022","27.10.2020",NA,"PN40b Projekt nedokončen - ukončen ŘO","Česká republika","CZ020","Středočeský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","EFRR",0,0,0,NA,0,0,0,"Ne"
"3586","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/16_040/0003697","Kompostéry pro občany města Rakovník","Předmětem projektu je realizování několika opatření, kterými dojde k předcházení vzniku čtyř druhů odpadů (BRO, papír, textilní materiál, elektrické a elektronické zařízení ? CD/DVD) na území města Rakovník.","Město Rakovník","00244309","Obec",26901,2017-08-01,"19.10.2017","31.01.2019","15.01.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,2719475,2311553.75,407921.25,0,2719475,2311553.75,"Ne"
"3587","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.24/0.0/0.0/18_113/0009181","Hospodaření se srážkovými vodami - ZŠ Na Výsluní, Uherský Brod","Projekt hospodaření s dešťovými vodami v areálu základní školy ZŠ Na Výsluní Uherský Brod zahrnuje opatření, která budou realizována stavebními úpravami stávajících budov a vybudováním nových zařízení. Jedná se o realizaci prvků pro akumulaci a zasakování dešťové vody. Akumulace vody bude probíhat ve dvou akumulačních nádržích sloužících pro dodatečnou závlahu. Přebytečné množství srážek pak bude zachyceno v retenční nádrži. Součástí projektu je i prodloužení dešťové kanalizace - jako přepad.","Město Uherský Brod","00291463","Obec",68801,2019-10-25,"15.06.2020","30.09.2021",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ072","Zlínský kraj","IV.4.087","Opatření pro přizpůsobení se změně klimatu, předcházení rizikům a řízení rizik souvisejících s oblastí klimatu, jako jsou například eroze, požáry, záplavy, bouře a sucha, včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof","FS",0.849999999955854,11325948.53,9627056.25,1698892.28,0,11217044.91,9518152.62,"Ne"
"3588","OP D","04.1 Infrastruktura pro železniční a další udržitelnou dopravu","CZ.04.1.40/0.0/0.0/16_019/0000137","Tramvajová trať 8.května","Předmětem projektu je modernizace tramvajové tratě na ulici 8.května v historickém centru města Olomouce v délce 273 m s cílem zvýšení kvality a posílení konkurenceschopnosti veřejné hromadné dopravy vůči individuální automobilové dopravě a zajištění každodenních přepravních potřeb pro dojížďku za prací či do škol s ohledem na bezpečnost cestujících a umožnění bezbariérového přístupu.","Statutární město Olomouc","00299308","Obec",77900,2019-01-08,"05.03.2020","30.11.2020","30.12.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ071","Olomoucký kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","FS",0.849999999691614,30805522.67,26184694.26,4620828.41,0,28065601.82,23855761.52,"Ne"
"3589","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_066/0005802","Budování a modernizace odborných učeben, laboratoří, venkovních pavilónů pro výuku a naučných zahrad při ZŠ v obcích ORP Dobříš","Tento projekt je zaměřen na rekonstrukci a stavební úpravy stávajících odborných učeben včetně pořízení nábytku, odborného vybavení a pomůcek na dvou základních školách v Dobříši. V rámci projektu dojde k rekonstrukci celkem 5 odborných učeben. Součástí projektu jsou i úpravy venkovního prostranství základní školy. Hlavním cílem projektu je zvýšení klíčových kompetencí žáků  - komunikace v cizích jazycích, přírodní vědy, práce s digitálními technologiemi.","Město Dobříš","00242098","Obec",26301,2018-07-30,"01.10.2016","30.09.2019","30.09.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,15246997,12959947.45,2287049.55,0,15246997,12959947.45,"Ne"
"3590","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/15_005/0000433","Sběr bioodpadu ve městě Poděbrady","Předmětem projektu je zavedení plošného odděleného sběru bioodpadu ve městě Poděbrady odvozným způsobem. Tím bude občanů města umožněno vytřiďovat bioodpad, který běžně končí ve směsném komunálním odpadu ukládaném na skládku, přímo v domácnostech.  Bioodpad vyseparovaný přímo u každého rodinného a bytového domu bude svážen k dalšímu využití na kompostárnu. Tím dojde k významnému snížení množství biologicky rozložitelného odpadu ukládaného na skládku.","Město Poděbrady","00239640","Obec",29001,2017-01-31,"30.01.2017","30.06.2017","23.03.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,3342020,2840717,501303,0,3342020,2840717,"Ne"
"3591","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_067/0006076","ZŠ Karlovy Vary Poštovní 19 - Příroda mého okolí (učebna chemie a kabinet včetně schodišťové plošiny)","Bezbariérové užívání učebny a kabinetu sloužící k výuce přírodovědných předmětů, zejména chemie a přírodopisu, včetně vybavení nábytkem. Dojde k výměně stupňovité podlahy a vybavení nábytkem ve stávající učebně chemie, napojení pracovních míst na média, obnovení povrchů, montáž schod. plošiny a posunutí příčky v 1. NP pod výstupní rameno schodiště. NP bude osazena šikmá schod. plošina, včetně připojení ne el. energii. Učebna s kapacitou 30 žáků bude využívána v rámci partnerství škol.","Statutární město Karlovy Vary","00254657","Obec",36001,2018-03-13,"01.07.2017","31.12.2017","31.12.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ041","Karlovarský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999998261172,2875499.5,2444174.57,431324.93,0,2813298.34,2391303.58,"Ne"
"3592","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/15_014/0000501","Mateřská škola Prokopa Holého","Předmětem projektu rozšíření kapacity MŠ Stříbro, p.o., výstavbou nové budovy a školní zahrady odloučeného pracoviště MŠ v ulici Prokopa Holého s kapacitou pro 105 dětí s bezbariérovým přístupem. V nové budově vznikne 1 tř. pro 22 dětí do 3.let a 3 tř. pro 83 dětí od 3.let.s provozem delším než 8. hod. denně. Zřízením nového odlouč. prac. a po ukončení provoz. nevyhovujících prostor MŠ dojde k navýšení kapacity MŠ Stříbro, p.o. celkem o 23 dětí. Potřeba navýšení kapacity je doložena demog.studií","Město Stříbro","00260177","Obec",34901,2017-01-06,"28.01.2016","30.09.2018","06.09.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","III.0.052","Infrastruktura pro vzdělávání dětí v raném věku a péči o ně","EFRR",0.849999999925636,53789608.04,45721166.83,8068441.21,0,53789608.04,45721166.83,"Ne"
"3593","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_001/0003193","Změna č. 3 Územního plánu Zlína","Předmětem projektu je pořízení změny č. 3 Územního plánu Zlína, vyplývající ze schválené ""Zprávy o uplatňování Územního plánu Zlína v uplynulém období 2011 - 2015"", jejíž součástí je zadání změny. V rámci podané žádosti o dotaci je předmětem pouze část na pořízení změn v území, jejichž nutnost vyplývá z územní studie, zaměřené na veřejnou infrastrukturu. Touto územní studií je pořízená studie ""Vedení kapacitní silnice tzv. pravobřežní komunikace včetně dopravních uzlů a příček navržených ÚP"".","Statutární město Zlín","00283924","Obec",76001,2017-06-13,"05.05.2016","30.12.2019","20.11.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,313027,266072.95,46954.05,0,313027,266072.95,"Ne"
"3594","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.60/0.0/0.0/16_052/0009761","Cesta k lepšímu bydlení","Projekt je zaměřen na podporu obyvatel žijících v nevhodném bydlení v tzv. sociálně vyloučených ""mikrolokalitách"" města Rumburk. Podporu v oblasti bydlení bude doplňovat i protidluhová kampaň. Prostřednictvím projektu bude podpořeno 120 osob z CS při začlenění do společnosti, díky asistenci pracovníků získají, či si udrží stabilní bydlení a zvýší se kvalita jejich zdraví.","Město Rumburk","00261602","Obec",40801,2018-08-29,"01.01.2019","31.12.2021","31.12.2021",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ042","Ústecký kraj","VI.0.109; VI.0.109","Aktivní začleňování, včetně začleňování s ohledem na podporu rovných příležitostí a aktivní účast a zlepšení zaměstnatelnosti; Aktivní začleňování, včetně začleňování s ohledem na podporu rovných příležitostí a aktivní účast a zlepšení zaměstnatelnosti","ESF; ESF",0.849999998460668,6496325,5521876.24,974448.76,0,5413544.21,4601512.53,"Ano"
"3595","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/15_019/0001702","Výstavba plynové kotelny v objektu čp. 485 Mánesova ulice Stříbro","V současnosti je objekt čp. 485 , což je objekt základní školy, vytápěn včetně dodávky TUV  z uhelné kotelny umístěné v samostatném objektu na st.p.č. 2367 v k.ú. Stříbro.  Instalovaný výkon uhelné kotelny je  3,0 MW, využívaný výkon uhelné kotelny je 1,0 MW. Kromě budovy základní školy čp. 485 jsou uhelnou kotelnou vytápěny prostřednictvím teplovodu ještě objekty čp. 17, 20 a 437 na Masarykově náměstí.  Stávající uhelná kotelna bude nehrazena dvěma novými plynovými kotelnami.","Město Stříbro","00260177","Obec",34901,2017-03-20,"15.06.2017","29.09.2019","28.02.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.399999998096873,2101804.41,840721.76,1261082.65,0,2101804.33,840721.73,"Ne"
"3596","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/18_100/0009211","""Realizace energetických úspor v objektech města O/Lutyně - objekt čp. 725 - nestátní denní zařízení DUHA""","Obsahem projektu je realizace energetických úspor v objektu č. p. 725 na ulici Mládí v Orlové-Lutyni. Jedná se o veřejnou budovu umístěnou na parc. č. 145 v k. ú. Horní Lutyně, která je v majetku města Orlová. Předmětem projektu je zateplení obvodového pláště, výměna otvorových výplní, zateplení střechy, oprava spojovací chodby. Cílem  projektu je na základě navržených energetických opatření snížit energetickou náročnost budovy, která je z tohoto hlediska nehospodárná.","Město Orlová","00297577","Obec",73514,2019-07-12,"17.04.2020","31.12.2021","16.12.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.4,3479645.55,1391858.22,2087787.33,0,3479645.55,1391858.22,"Ne"
