municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7206,Rožnov pod Radhoštěm,35392,35351,35208,35314,35259,35271,35339,35376,35321,35363,35406,35366,35356,35248,35227,35172,35206,35183,35175,35043,34565
4212,Rumburk,33887,33926,34018,34144,34182,34220,34473,34710,34585,34600,33646,33556,33425,33366,33161,32939,32776,32795,32795,32529,31999
5213,Rychnov nad Kněžnou,33957,33942,33888,33880,33994,34064,34043,34054,34060,33917,33929,33952,33849,33819,33783,33798,33905,33980,34301,34173,33659
8120,Rýmařov,17270,17154,17088,17002,16896,16735,16641,16606,16576,16495,16278,16180,16016,15906,15711,15600,15487,15338,15241,15101,14861
2123,Sedlčany,22167,22076,22034,22005,21974,22023,22013,22030,22131,22109,22259,22219,22187,22098,22060,22015,22012,22043,22074,21978,21785
5107,Semily,26929,26833,26624,26544,26451,26382,26488,26498,26430,26346,26241,26037,25878,25846,25719,25805,25709,25659,25675,25570,25300
2124,Slaný,36703,36888,36935,36908,36953,37254,37721,38214,38476,38806,39274,39412,39580,39749,39811,39837,40038,40380,40526,40780,40589
6216,Šlapanice,51629,52440,53464,54667,55107,56157,57965,59169,60278,61383,62661,63498,64446,65569,66461,67446,68364,69537,70414,71102,70716
6215,Slavkov u Brna,19865,19974,20022,20230,20414,20694,20887,21107,21330,21548,21819,22055,22267,22579,22902,23109,23313,23560,24027,24274,24284
3110,Soběslav,22010,22025,22012,22002,22030,22089,22105,22155,22233,22237,22127,22071,22058,21983,21957,21966,21936,21914,21947,21962,21927
4107,Sokolov,79031,79230,79384,79226,79238,79054,79079,78914,78828,78788,77923,77596,77184,76729,76205,75858,75618,75189,75028,74502,72534
7110,Šternberk,24085,24024,23914,23920,23803,23834,23896,23921,23889,23827,23708,23657,23576,23621,23639,24164,24199,24221,24164,24087,23816
3212,Stod,20905,21049,21241,21349,21500,21749,22049,22341,22517,22718,22713,22774,22715,22842,22906,22993,23093,23250,23393,23389,23176
3111,Strakonice,45008,44845,44908,44781,44800,45011,45323,45446,45197,45173,45199,45154,45082,45262,45271,45290,45347,45305,45223,45001,44662
