"","year","ico","lt_tangible_assets_CZK"
"1039",2012,237108,1073183349.41
"1040",2012,239402,1123464469.76
"1041",2012,239500,1387885557.89
"1042",2012,239640,1666716007.93
"1043",2012,238309,850158000.62
"1044",2012,238295,3934746501.9
"1045",2012,245836,1487088836.42
"1046",2012,245941,694230430.55
"1047",2012,244309,1626343493.4
"1048",2012,249831,725988061.76
"1049",2012,249998,4222305380.54
"1050",2012,241121,611353534.64
"1051",2012,250627,1691722280.77
"1052",2012,250805,1003692199.57
"1053",2012,246476,605888196.17
"1054",2012,246875,2424230816.51
"1055",2012,247618,2037476117.65
"1056",2012,243132,3396066396.55
"1057",2012,243272,872079759.07
"1058",2012,240702,1967220911.12
"1059",2012,240079,1908507618.29
"1060",2012,242098,808109187.43
"1061",2012,245585,772994088.83
"1062",2012,259047,1703948308.78
"1063",2012,245551,439238970.79
"1064",2012,244732,9569399850.65
"1065",2012,75370,24299624976.57
"1066",2012,253383,763711476.23
"1067",2012,253316,2951408663.74
"1068",2012,251984,684606652.98
"1069",2012,256129,1530881608.32
"1070",2012,256455,488880264.75
"1071",2012,257125,798779589.37
"1072",2012,257265,453552993.79
"1073",2012,255513,943713319.11
"1074",2012,255661,2844537883.64
"1075",2012,260177,1009992990.69
"1076",2012,260231,2456954198.79
"1077",2012,251810,3162478999.35
"1078",2012,250996,506914650.97
"1079",2012,266027,1744914836.66
"1080",2012,254061,1480018428.23
"1081",2012,256986,569526357.91
"1082",2012,253979,2878039370.51
"1083",2012,253014,3931742616.19
"1084",2012,252921,809758516.3
"1085",2012,253901,609445239.3
"1086",2012,257966,339879567.92
"1087",2012,258199,437187577.43
"1088",2012,261891,4357496422.67
"1089",2012,254843,1828852942.26
"1090",2012,261602,788471377.15
"1091",2012,259438,235766141.82
"1092",2012,259586,1738720748.45
"1093",2012,266094,6692168713.27
"1094",2012,261912,1977991082.57
"1095",2012,254657,9968862019.69
"1096",2012,261718,1028258413.37
"1097",2012,265209,1047128060.04
"1098",2012,265365,746067317.76
"1099",2012,265781,1414456692.8
"1100",2012,261238,3840367496.28
"1101",2012,266230,735933912.17
"1102",2012,262587,431421191.25
"1103",2012,262340,3837852163.55
"1104",2012,81531,3772578625.06
"1105",2012,266621,1989110902
"1106",2012,263991,735257944.54
"1107",2012,264334,579520002.83
"1108",2012,263958,2275008531.94
"1109",2012,260771,955662084.86
"1110",2012,262633,493961528.04
"1111",2012,260428,2990296567.75
"1112",2012,262781,618422966.87
"1113",2012,276227,1015785982.6
"1114",2012,276111,472473045.55
"1115",2012,275808,479454269.63
"1116",2012,269247,1030529833.05
"1117",2012,262978,10337700887.47
"1118",2012,271632,2357784167.21
"1119",2012,271888,610324813.26
"1120",2012,268810,8095609093.16
"1121",2012,271560,823312621.03
"1122",2012,272728,1210400836.05
"1123",2012,272876,694912597.02
"1124",2012,272523,541265275.31
"1125",2012,272868,1539636199.96
"1126",2012,275336,1449797464.67
"1127",2012,274879,694306065.31
"1128",2012,274968,578072612.12
"1129",2012,278475,2140625410.94
"1130",2012,278360,2204456207.15
"1131",2012,277819,2251587926.44
"1132",2012,270211,2301639955.99
"1133",2012,270059,1028573813.19
"1134",2012,274101,622084041.18
"1135",2012,273571,438227848.28
"1136",2012,274046,8406306663.03
"1137",2012,277177,1515443832.13
"1138",2012,277444,1315616621.17
"1139",2012,277037,1338670073.96
"1140",2012,267449,1882931664.81
"1141",2012,267538,678567518.76
"1142",2012,248801,2038717833.08
"1143",2012,248266,835275692.72
"1144",2012,268321,661885856.38
"1145",2012,248789,819631802.72
"1146",2012,276944,1855043068.32
"1147",2012,290629,2927954185.57
"1148",2012,279102,1064028768.02
"1149",2012,289931,589944050.67
"1150",2012,289965,351219020.23
"1151",2012,279773,1224786602.24
"1152",2012,279676,922593972.79
"1153",2012,279846,605375225.53
"1154",2012,286010,5252724943.03
"1155",2012,279072,689340315.92
"1156",2012,278653,1303736906.52
