ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
251810,3111,Strakonice,2014-12-31,2014,1117.8873770491803,6571.579233794352,220.86171622995008,1933.7484516813222,69809.29330343334,880.1493385179599,45262,6.54
251810,3111,Strakonice,2015-12-31,2015,751.1322754080979,6830.244970290031,147.2063793598551,2047.7177239292262,72301.64086059509,1421.9071041063814,45271,5.58
251810,3111,Strakonice,2016-12-31,2016,0,7285.673270037535,119.62507838374917,2086.9644358578053,71385.88368624421,3098.1993667476263,45290,5.09
251810,3111,Strakonice,2017-12-31,2017,1046.0735409178114,7825.043295477099,172.65159768011114,2056.1739063223586,71899.61011996384,2038.8071182217102,45347,3.14
251810,3111,Strakonice,2018-12-31,2018,192.1672568149211,8373.584252952212,253.03622116764154,2019.6786273038294,74435.90028275024,-318.79386822646507,45305,2.97
251810,3111,Strakonice,2019-12-31,2019,12.642552241116247,9000.37099329987,949.7846670941777,1833.9112378656878,75251.88367689008,2819.5484255799042,45223,2.93
251810,3111,Strakonice,2020-12-31,2020,42.137176951623296,8400.449230017111,29.73465034110353,1922.610735316993,75794.00364858558,1567.1020557320926,45001,3.52
251984,3117,Vodňany,2007-12-31,2007,0,5807.834180815306,1121.6797379987934,1447.196414720331,72409.58459019219,679.6776695682152,11603,4.91
251984,3117,Vodňany,2008-12-31,2008,471.89778195810175,6725.444206926037,499.5528003420265,1181.7657118426678,71540.11115861479,997.3552800342027,11695,5.24
251984,3117,Vodňany,2009-12-31,2009,49.48592390377069,5829.152021839276,306.22334072683844,1203.939600750725,77694.75857362225,-491.29158846613205,11722,7.6
251984,3117,Vodňany,2010-12-31,2010,112.50433861082738,5955.07745999319,60.282601293837246,1999.090909090909,78679.10367722166,1054.040687776643,11748,8.72
251984,3117,Vodňany,2011-12-31,2011,655.1664958141124,6144.987946352298,110.90893558858706,1549.3753297454296,58707.56368785238,863.1798248761319,11706,8.67
251984,3117,Vodňany,2012-12-31,2012,0,6229.468299914311,52.43041988003428,1491.7645098543271,58663.80916709512,-1.6960394173094429,11670,8.66
251984,3117,Vodňany,2013-12-31,2013,1302.2831994137425,7664.990245710837,74.20613846021209,1393.6338132597637,59799.862120010344,226.5022536425545,11599,8.65
251984,3117,Vodňany,2014-12-31,2014,29.516420998189812,7903.18191449013,88.62348073441945,1433.7608619946557,61373.231396431336,-201.85002499784414,11601,8.65
