"year","municipality_id","municipality_name","vote_percentage","party_id","party_name","party_name_short","winer","coallition"
2010,4104,"Kraslice",22.67,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4105,"Mariánské Lázně",25.15,53,"Občanská demokratická strana","ODS",0,1
2010,4106,"Ostrov",22.88,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4107,"Sokolov",26.98,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4201,"Bílina",26.46,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4202,"Děčín",26.26,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4203,"Chomutov",28.82,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4204,"Kadaň",28.11,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4205,"Litoměřice",23.69,53,"Občanská demokratická strana","ODS",0,1
2010,4206,"Litvínov",23.71,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4207,"Louny",24.53,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4208,"Lovosice",25.59,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4209,"Most",26.88,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4210,"Podbořany",26.74,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4211,"Roudnice nad Labem",23.9,53,"Občanská demokratická strana","ODS",0,1
2010,4212,"Rumburk",24.17,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4213,"Teplice",23.01,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4214,"Ústí nad Labem",23.44,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4215,"Varnsdorf",24.96,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4216,"Žatec",24.33,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5101,"Česká Lípa",23.35,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5102,"Frýdlant",22.41,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5103,"Jablonec nad Nisou",25.07,53,"Občanská demokratická strana","ODS",0,1
2010,5104,"Jilemnice",23.48,53,"Občanská demokratická strana","ODS",0,1
2010,5105,"Liberec",23.07,721,"TOP 09","TOP 09",0,1
2010,5106,"Nový Bor",21.37,53,"Občanská demokratická strana","ODS",0,1
2010,5107,"Semily",22.65,721,"TOP 09","TOP 09",0,1
2010,5108,"Tanvald",22.39,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5109,"Turnov",25.04,53,"Občanská demokratická strana","ODS",0,1
2010,5110,"Železný Brod",30.37,721,"TOP 09","TOP 09",0,1
2010,5201,"Broumov",23.89,7,"Česká strana sociálně demokratická","ČSSD",1,0
