"","municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name"
"114",5106,"Nový Bor","CZ0511","Česká Lípa","CZ051","Liberecký kraj","CZ05","Severovýchod","00260771","Město Nový Bor"
"115",5212,"Nový Bydžov","CZ0521","Hradec Králové","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00269247","Město Nový Bydžov"
"116",8115,"Nový Jičín","CZ0804","Nový Jičín","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00298212","Město Nový Jičín"
"117",2118,"Nymburk","CZ0208","Nymburk","CZ020","Středočeský kraj","CZ02","Střední Čechy","00239500","Město Nymburk"
"118",3208,"Nýřany","CZ0325","Plzeň-sever","CZ032","Plzeňský kraj","CZ03","Jihozápad","00258199","Město Nýřany"
"119",8116,"Odry","CZ0804","Nový Jičín","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00298221","Město Odry"
"120",7107,"Olomouc","CZ0712","Olomouc","CZ071","Olomoucký kraj","CZ07","Střední Morava","00299308","Statutární město Olomouc"
"121",8117,"Opava","CZ0805","Opava","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00300535","Statutární město Opava"
"122",8118,"Orlová","CZ0803","Karviná","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00297577","Město Orlová"
"123",8119,"Ostrava","CZ0806","Ostrava-město","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00845451","Statutární město Ostrava"
"124",4106,"Ostrov","CZ0412","Karlovy Vary","CZ041","Karlovarský kraj","CZ04","Severozápad","00254843","Město Ostrov"
"125",7205,"Otrokovice","CZ0724","Zlín","CZ072","Zlínský kraj","CZ07","Střední Morava","00284301","Město Otrokovice"
"126",6109,"Pacov","CZ0633","Pelhřimov","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00248789","Město Pacov"
"127",5309,"Pardubice","CZ0532","Pardubice","CZ053","Pardubický kraj","CZ05","Severovýchod","00274046","Statutární město Pardubice"
"128",6110,"Pelhřimov","CZ0633","Pelhřimov","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00248801","Město Pelhřimov"
"129",3108,"Písek","CZ0314","Písek","CZ031","Jihočeský kraj","CZ03","Jihozápad","00249998","Město Písek"
"130",3209,"Plzeň","CZ0323","Plzeň-město","CZ032","Plzeňský kraj","CZ03","Jihozápad","00075370","Statutární město Plzeň"
"131",4210,"Podbořany","CZ0424","Louny","CZ042","Ústecký kraj","CZ04","Severozápad","00265365","Město Podbořany"
"132",2119,"Poděbrady","CZ0208","Nymburk","CZ020","Středočeský kraj","CZ02","Střední Čechy","00239640","Město Poděbrady"
"133",6213,"Pohořelice","CZ0643","Brno-venkov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00283509","Město Pohořelice"
"134",5310,"Polička","CZ0533","Svitavy","CZ053","Pardubický kraj","CZ05","Severovýchod","00277177","Město Polička"
"135",3109,"Prachatice","CZ0315","Prachatice","CZ031","Jihočeský kraj","CZ03","Jihozápad","00250627","Město Prachatice"
"136",5311,"Přelouč","CZ0532","Pardubice","CZ053","Pardubický kraj","CZ05","Severovýchod","00274101","Město Přelouč"
"137",7109,"Přerov","CZ0714","Přerov","CZ071","Olomoucký kraj","CZ07","Střední Morava","00301825","Statutární město Přerov"
"138",3210,"Přeštice","CZ0324","Plzeň-jih","CZ032","Plzeňský kraj","CZ03","Jihozápad","00257125","Město Přeštice"
