ID,IČO,Název,Od,Do,DIČ,Adresa,Ulice,PSČ,Sídlo,Zřizovatel,Počet obyvatel,Kraj,Obec,Základní územní jednotka ,Datum vzniku,Kapitola ID,Druh ÚJ ,NACE,NUTS,COFOG,municipality
2.24535951500757E+018,00266108,Obec Nová Ves v Horách,44562,2958465,CZ00266108,435 45 Nová Ves v Horách 33, ,435 45,Nová Ves v Horách 33,00266108,479,CZ042,Nová Ves v Horách,567329,26846,0,4,84110,CZ0425,0,
5.04877380837448E+018,00488224,Obec Nové Bránice,44562,2958465,CZ00488224,"Nové Bránice 7, 664 64 Dolní Kounice",Nové Bránice 7,664 64,Dolní Kounice,00488224,737,CZ064,Nové Bránice,583511,32933,0,4,84110,CZ0643,0,
3.67249404848672E+017,00264113,Obec Nové Dvory,44562,2958465,CZ00264113,"Nové Dvory, 413 01 Roudnice nad Labem",Nové Dvory ,413 01,Roudnice nad Labem,00264113,393,CZ042,Nové Dvory,565342,26846,0,4,84110,CZ0423,0,
1.65103608422943E+018,00236276,Městys Nové Dvory,44562,2958465,CZ00236276,"Masarykovo nám. 11, 285 31 Nové Dvory",Masarykovo nám. 11,285 31,Nové Dvory,00236276,876,CZ020,Nové Dvory,534242,26846,0,4,84110,CZ0205,0,
3.38129761695727E+018,00842231,Obec Nové Dvory,44562,2958465,CZ00842231,"Nové Dvory 70, 592 12 Nížkov",Nové Dvory 70,592 12,Nížkov,00842231,322,CZ063,Nové Dvory,587974,33604,0,4,84110,CZ0635,0,
8.26856200596137E+018,00242870,Obec Nové Dvory,44562,2958465,CZ00242870,"Nové Dvory, 262 03 Nový Knín",Nové Dvory ,262 03,Nový Knín,00242870,266,CZ020,Nové Dvory,540897,26846,0,4,84110,CZ020B,0,
2.47825513071397E+017,00479080,Obec Nové Hamry,44562,2958465,CZ00479080,"Nové Hamry 274, 362 24 Nové Hamry",Nové Hamry 274,362 24,Nové Hamry,00479080,339,CZ041,Nové Hamry,506494,32933,0,4,84110,CZ0412,0,
2.08766847203191E+018,00846538,Obec Nové Heřminovy,44562,2958465,CZ00846538,"Nové Heřminovy 124, 792 01 Bruntál",Nové Heřminovy 124,792 01,Bruntál,00846538,378,CZ080,Nové Heřminovy,569551,33663,0,4,84110,CZ0801,0,
2.27418993709577E+018,00270598,Obec Nové Hrady,44562,2958465,CZ00270598,539 45 Nové Hrady 123, ,539 45,Nové Hrady 123,00270598,303,CZ053,Nové Hrady,571920,33373,0,4,84110,CZ0534,0,
4.55759214519749E+018,00245267,Město Nové Hrady,44562,2958465,CZ00245267,"nám. Republiky 46, 373 33 Nové Hrady",nám. Republiky 46,373 33,Nové Hrady,00245267,2512,CZ031,Nové Hrady,544868,26846,0,4,84110,CZ0311,0,
