municipality_id,municipality,district_id,distric,NUTS_3_id,NUTS_3,NUTS_2_id,NUTS_2
5105,Liberec,CZ0513,Liberec,CZ051,Liberecký kraj,CZ05,Severovýchod
7104,Lipník nad Bečvou,CZ0714,Přerov,CZ071,Olomoucký kraj,CZ07,Střední Morava
4205,Litoměřice,CZ0423,Litoměřice,CZ042,Ústecký kraj,CZ04,Severozápad
5307,Litomyšl,CZ0533,Svitavy,CZ053,Pardubický kraj,CZ05,Severovýchod
7105,Litovel,CZ0712,Olomouc,CZ071,Olomoucký kraj,CZ07,Střední Morava
4206,Litvínov,CZ0425,Most,CZ042,Ústecký kraj,CZ04,Severozápad
4207,Louny,CZ0424,Louny,CZ042,Ústecký kraj,CZ04,Severozápad
4208,Lovosice,CZ0423,Litoměřice,CZ042,Ústecký kraj,CZ04,Severozápad
7204,Luhačovice,CZ0724,Zlín,CZ072,Zlínský kraj,CZ07,Střední Morava
2113,Lysá nad Labem,CZ0208,Nymburk,CZ020,Středočeský kraj,CZ02,Střední Čechy
4105,Mariánské Lázně,CZ0411,Cheb,CZ041,Karlovarský kraj,CZ04,Severozápad
2114,Mělník,CZ0206,Mělník,CZ020,Středočeský kraj,CZ02,Střední Čechy
6211,Mikulov,CZ0644,Břeclav,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
3107,Milevsko,CZ0314,Písek,CZ031,Jihočeský kraj,CZ03,Jihozápad
2115,Mladá Boleslav,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,CZ02,Střední Čechy
2116,Mnichovo Hradiště,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,CZ02,Střední Čechy
7106,Mohelnice,CZ0715,Šumperk,CZ071,Olomoucký kraj,CZ07,Střední Morava
5308,Moravská Třebová,CZ0533,Svitavy,CZ053,Pardubický kraj,CZ05,Severovýchod
6106,Moravské Budějovice,CZ0634,Třebíč,CZ063,Kraj Vysočina,CZ06,Jihovýchod
6212,Moravský Krumlov,CZ0647,Znojmo,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
4209,Most,CZ0425,Most,CZ042,Ústecký kraj,CZ04,Severozápad
5209,Náchod,CZ0523,Náchod,CZ052,Královéhradecký kraj,CZ05,Severovýchod
6107,Náměšť nad Oslavou,CZ0634,Třebíč,CZ063,Kraj Vysočina,CZ06,Jihovýchod
3207,Nepomuk,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,CZ03,Jihozápad
2117,Neratovice,CZ0206,Mělník,CZ020,Středočeský kraj,CZ02,Střední Čechy
5210,Nová Paka,CZ0522,Jičín,CZ052,Královéhradecký kraj,CZ05,Severovýchod
6108,Nové Město na Moravě,CZ0635,Žďár nad Sázavou,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5211,Nové Město nad Metují,CZ0523,Náchod,CZ052,Královéhradecký kraj,CZ05,Severovýchod
5106,Nový Bor,CZ0511,Česká Lípa,CZ051,Liberecký kraj,CZ05,Severovýchod
5212,Nový Bydžov,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,CZ05,Severovýchod
8115,Nový Jičín,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
2118,Nymburk,CZ0208,Nymburk,CZ020,Středočeský kraj,CZ02,Střední Čechy
3208,Nýřany,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,CZ03,Jihozápad
8116,Odry,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
7107,Olomouc,CZ0712,Olomouc,CZ071,Olomoucký kraj,CZ07,Střední Morava
8117,Opava,CZ0805,Opava,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
8118,Orlová,CZ0803,Karviná,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
8119,Ostrava,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
4106,Ostrov,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,CZ04,Severozápad
7205,Otrokovice,CZ0724,Zlín,CZ072,Zlínský kraj,CZ07,Střední Morava
6109,Pacov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5309,Pardubice,CZ0532,Pardubice,CZ053,Pardubický kraj,CZ05,Severovýchod
6110,Pelhřimov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina,CZ06,Jihovýchod
3108,Písek,CZ0314,Písek,CZ031,Jihočeský kraj,CZ03,Jihozápad
3209,Plzeň,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,CZ03,Jihozápad
4210,Podbořany,CZ0424,Louny,CZ042,Ústecký kraj,CZ04,Severozápad
2119,Poděbrady,CZ0208,Nymburk,CZ020,Středočeský kraj,CZ02,Střední Čechy
6213,Pohořelice,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
5310,Polička,CZ0533,Svitavy,CZ053,Pardubický kraj,CZ05,Severovýchod
3109,Prachatice,CZ0315,Prachatice,CZ031,Jihočeský kraj,CZ03,Jihozápad
5311,Přelouč,CZ0532,Pardubice,CZ053,Pardubický kraj,CZ05,Severovýchod
7109,Přerov,CZ0714,Přerov,CZ071,Olomoucký kraj,CZ07,Střední Morava
3210,Přeštice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,CZ03,Jihozápad
2120,Příbram,CZ020B,Příbram,CZ020,Středočeský kraj,CZ02,Střední Čechy
7108,Prostějov,CZ0713,Prostějov,CZ071,Olomoucký kraj,CZ07,Střední Morava
2121,Rakovník,CZ020C,Rakovník,CZ020,Středočeský kraj,CZ02,Střední Čechy
2122,Říčany,CZ0209,Praha-východ,CZ020,Středočeský kraj,CZ02,Střední Čechy
3211,Rokycany,CZ0326,Rokycany,CZ032,Plzeňský kraj,CZ03,Jihozápad
6214,Rosice,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
4211,Roudnice nad Labem,CZ0423,Litoměřice,CZ042,Ústecký kraj,CZ04,Severozápad
7206,Rožnov pod Radhoštěm,CZ0723,Vsetín,CZ072,Zlínský kraj,CZ07,Střední Morava
4212,Rumburk,CZ0421,Děčín,CZ042,Ústecký kraj,CZ04,Severozápad
5213,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,CZ05,Severovýchod
8120,Rýmařov,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
2123,Sedlčany,CZ020B,Příbram,CZ020,Středočeský kraj,CZ02,Střední Čechy
5107,Semily,CZ0514,Semily,CZ051,Liberecký kraj,CZ05,Severovýchod
2124,Slaný,CZ0203,Kladno,CZ020,Středočeský kraj,CZ02,Střední Čechy
6216,Šlapanice,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
6215,Slavkov u Brna,CZ0646,Vyškov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
3110,Soběslav,CZ0317,Tábor,CZ031,Jihočeský kraj,CZ03,Jihozápad
4107,Sokolov,CZ0413,Sokolov,CZ041,Karlovarský kraj,CZ04,Severozápad
7110,Šternberk,CZ0712,Olomouc,CZ071,Olomoucký kraj,CZ07,Střední Morava
3212,Stod,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,CZ03,Jihozápad
3111,Strakonice,CZ0316,Strakonice,CZ031,Jihočeský kraj,CZ03,Jihozápad
3213,Stříbro,CZ0327,Tachov,CZ032,Plzeňský kraj,CZ03,Jihozápad
7111,Šumperk,CZ0715,Šumperk,CZ071,Olomoucký kraj,CZ07,Střední Morava
3214,Sušice,CZ0322,Klatovy,CZ032,Plzeňský kraj,CZ03,Jihozápad
6111,Světlá nad Sázavou,CZ0631,Havlíčkův Brod,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5312,Svitavy,CZ0533,Svitavy,CZ053,Pardubický kraj,CZ05,Severovýchod
3112,Tábor,CZ0317,Tábor,CZ031,Jihočeský kraj,CZ03,Jihozápad
3215,Tachov,CZ0327,Tachov,CZ032,Plzeňský kraj,CZ03,Jihozápad
5108,Tanvald,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,CZ05,Severovýchod
6112,Telč,CZ0632,Jihlava,CZ063,Kraj Vysočina,CZ06,Jihovýchod
4213,Teplice,CZ0426,Teplice,CZ042,Ústecký kraj,CZ04,Severozápad
6217,Tišnov,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
