"ico","year","Saldo_CZK"
"00284611","2009/12",-29881570
"00284653","2009/12",2325240
"00284891","2009/12",31433330
"00285030","2009/12",25601120
"00285455","2009/12",-11605210
"00286010","2009/12",98240300
"00286745","2009/12",-51329660
"00287113","2009/12",13953280
"00287172","2009/12",-20489340
"00287351","2009/12",-11151970
"00288365","2009/12",6359990
"00288659","2009/12",-53081050
"00289931","2009/12",-14547500
"00289965","2009/12",28183080
"00290629","2009/12",-36820050
"00291463","2009/12",-21002550
"00291471","2009/12",-43498790
"00291676","2009/12",1753260
"00292311","2009/12",-3164220
"00292427","2009/12",-178849780
"00293199","2009/12",15295020
"00293881","2009/12",-41898380
"00294136","2009/12",-59279790
"00294900","2009/12",-35362020
"00295671","2009/12",-33788950
"00295841","2009/12",-58922760
"00295892","2009/12",7066570
"00296139","2009/12",-49865210
"00296317","2009/12",-16452930
"00296643","2009/12",-145443360
"00296651","2009/12",-29014490
"00296759","2009/12",-20421290
"00297313","2009/12",-23673300
"00297437","2009/12",-37742470
"00297488","2009/12",-56605980
"00297534","2009/12",338335200
"00297569","2009/12",-14488000
"00297577","2009/12",-78533790
"00297755","2009/12",-3382560
"00297852","2009/12",-26732220
"00298077","2009/12",-58171330
"00298212","2009/12",-95804370
"00298221","2009/12",-4110660
"00299138","2009/12",-5783110
"00299308","2009/12",-514299180
"00299529","2009/12",-19028830
"00299634","2009/12",-25368520
"00300063","2009/12",11191620
"00300292","2009/12",-96218710
"00300535","2009/12",-394399560
"00300870","2009/12",-17299060
"00301311","2009/12",-62285350
"00301493","2009/12",503400
"00301825","2009/12",-141412980
"00302724","2009/12",-31211160
"00303038","2009/12",9210070
"00303461","2009/12",-47478800
"00303640","2009/12",-53501100
"00304271","2009/12",-50552140
"00304387","2009/12",-46636990
"00304450","2009/12",-27098670
"00845451","2009/12",-438819370
"44992785","2009/12",-435388870
