"year","ico","class_of_revenue","Revenue_CZK"
"2010","00289965","Kapitálové příjmy",17213850
"2010","00289965","Nedaňové příjmy",13522820
"2010","00290629","Daňové příjmy",388322880
"2010","00290629","Kapitálové příjmy",16348700
"2010","00290629","Nedaňové příjmy",41679310
"2010","00291463","Daňové příjmy",195799580
"2010","00291463","Kapitálové příjmy",17572570
"2010","00291463","Nedaňové příjmy",36902600
"2010","00291471","Daňové příjmy",293297830
"2010","00291471","Kapitálové příjmy",98452270
"2010","00291471","Nedaňové příjmy",114522860
"2010","00291676","Daňové příjmy",57999830
"2010","00291676","Kapitálové příjmy",18433610
"2010","00291676","Nedaňové příjmy",6529700
"2010","00292311","Daňové příjmy",55738630
"2010","00292311","Kapitálové příjmy",6195790
"2010","00292311","Nedaňové příjmy",6666300
"2010","00292427","Daňové příjmy",229662630
"2010","00292427","Kapitálové příjmy",13279420
"2010","00292427","Nedaňové příjmy",24615790
"2010","00293199","Daňové příjmy",59006500
"2010","00293199","Kapitálové příjmy",3179230
"2010","00293199","Nedaňové příjmy",11814240
"2010","00293881","Daňové příjmy",421156080
"2010","00293881","Kapitálové příjmy",56965880
"2010","00293881","Nedaňové příjmy",147046920
"2010","00294136","Daňové příjmy",91654540
"2010","00294136","Nedaňové příjmy",8660100
"2010","00294900","Daňové příjmy",104591520
"2010","00294900","Kapitálové příjmy",14227900
"2010","00294900","Nedaňové příjmy",47046790
"2010","00295671","Daňové příjmy",123356730
"2010","00295671","Kapitálové příjmy",3578840
"2010","00295671","Nedaňové příjmy",11920000
"2010","00295841","Daňové příjmy",251103400
"2010","00295841","Kapitálové příjmy",26402160
"2010","00295841","Nedaňové příjmy",94162270
"2010","00295892","Daňové příjmy",189419450
"2010","00295892","Kapitálové příjmy",22912240
"2010","00295892","Nedaňové příjmy",64970010
"2010","00296139","Daňové příjmy",244823980
"2010","00296139","Kapitálové příjmy",29352750
"2010","00296139","Nedaňové příjmy",87750330
"2010","00296317","Daňové příjmy",89491160
"2010","00296317","Kapitálové příjmy",11115890
"2010","00296317","Nedaňové příjmy",42033790
"2010","00296643","Daňové příjmy",682664270
