"year","ico","lg_tangible_assets_CZK"
"2013","00261602",819781007.67
"2013","00261718",1050211463.13
"2013","00263991",769174292.78
"2013","00266094",6466788160.43
"2013","00266230",770731091.93
"2013","00265209",1041201411.18
"2013","00265365",760969727.32
"2013","00265781",1426871790.13
"2013","00266027",1798536362.08
"2013","00266621",1992325613
"2013","00081531",3714016043.45
"2014","00253901",728556704.04
"2014","00253979",3074260445.99
"2014","00254061",1462166139.71
"2014","00254843",2002388549.75
"2014","00254657",9777357625.23
"2014","00259438",247220226.75
"2014","00259586",1959418270.11
"2014","00260428",3080582771
"2014","00260771",997647500.72
"2014","00262340",3811475146.01
"2014","00262587",437592359.53
"2014","00262633",587341011.46
"2014","00262781",613878870.9
"2014","00262978",10293086507.05
"2014","00275808",540804693.6
"2014","00276227",977410949.4
"2014","00276111",493265840.18
"2014","00261718",1093221223.38
"2014","00261602",866349352.97
"2014","00261238",3921756064.09
"2014","00261912",2088892849.16
"2014","00261891",4444732246.15
"2014","00263958",2431142278.97
"2014","00264334",598743878.47
"2014","00263991",839388398.68
"2014","00265781",1442830897.19
"2014","00265209",1139183943.12
"2014","00265365",767782260.6
"2014","00266027",1868426935.72
"2014","00266094",6474558577.25
"2014","00266230",845639044.8
"2014","00266621",2032338471
"2014","00081531",3813308380.26
"2014","00245585",835801701.53
"2014","00245836",1562691645.12
"2014","00245941",801241439.65
"2014","00245551",410475889.45
"2014","00244732",8934883961.15
"2014","00246476",626325606.56
"2014","00246875",2556982946.46
"2014","00249831",764310134.95
"2014","00249998",4338968878.22
"2014","00247618",2184377230.03
"2014","00250805",1102728389.75
"2014","00250627",1755285103.37
"2014","00251984",711990857.43
"2014","00250996",541682991.74
"2014","00251810",3159708233.5
"2014","00253383",765066282.34
"2014","00252921",812128319.86
"2014","00253014",4527714929.91
"2014","00253316",3045412624.35
"2014","00257966",406567139.37
"2014","00256986",591281463.02
"2014","00258199",439648538.57
"2014","00256129",1669703719.67
"2014","00255513",972593844.72
"2014","00255661",3021744654.69
"2014","00075370",26961230310.4
"2014","00256455",514160725.62
"2014","00257125",858498219.28
"2014","00257265",458448604.02
"2014","00231401",3588387574.73
"2014","00233242",387450812.83
"2014","00259047",1808173255.08
"2014","00260177",1004566705.26
"2014","00260231",2564593808.37
"2014","00232947",1365460485.19
"2014","00232963",511073734.37
"2014","00234877",2031440954.78
"2014","00233129",1609476035.39
"2014","00235440",5581137896.27
"2014","00235334",731048384.95
"2014","00234516",6143515729.97
"2014","00236977",1397131844
"2014","00237051",2307457066.18
"2014","00237108",1194996216.28
"2014","00236021",2073487498.08
"2014","00236195",1837163305.77
"2014","00239500",1400079254.55
"2014","00238295",4279860847.02
"2014","00239402",1165830519.2
"2014","00238309",790854638.44
"2014","00240702",2124682273.72
"2014","00240079",1974849048.69
"2014","00239640",1861278825
"2014","00241121",635433983.95
"2014","00244309",1611978080.66
"2014","00242098",826628198.19
"2014","00243132",3488604204.96
"2014","00243272",1121302419.84
"2015","00253901",801067776.96
"2015","00253979",3254428871.37
"2015","00254061",1476267973.23
"2015","00254843",2081742672.65
"2015","00254657",9938366370.68
"2015","00259438",246117365.32
"2015","00259586",2033843567.09
"2015","00260428",3081106711.49
"2015","00262340",3874397459.88
"2015","00260771",1001703366.49
"2015","00262587",441348573.18
"2015","00262781",618875989.78
"2015","00262633",601776734.91
"2015","00262978",10256249040.97
"2015","00275808",532785300.63
"2015","00276227",992059627.9
"2015","00276111",528063618.63
"2015","00253316",2986969533.44
"2015","00253383",770543215.84
"2015","00255513",983758300.57
"2015","00255661",3109235806.39
"2015","00256129",1694365044.49
"2015","00075370",27334127926.33
"2015","00256455",514211043.94
"2015","00257265",464027021.1
"2015","00257125",862424449.39
"2015","00257966",420843537.2
"2015","00258199",448071390.63
"2015","00256986",618539256.28
"2015","00259047",1833874822.69
"2015","00260177",1019359030.88
"2015","00260231",2596395461.61
"2015","00245585",849007024.19
"2015","00244732",8913777351.64
"2015","00245551",419443649.98
"2015","00245836",1837351442.45
"2015","00245941",922134100.31
"2015","00246476",675006309.63
"2015","00246875",2681622189.39
"2015","00249831",771477845.49
"2015","00249998",4355144275.01
"2015","00247618",2278571948.76
"2015","00250627",1775152687.16
"2015","00250805",1091587992.1
"2015","00261718",1119182957.52
"2015","00261602",864025945.1
"2015","00251984",739971158.52
"2015","00261238",3982664754.72
"2015","00261912",2110106247.56
"2015","00264334",590315715.23
"2015","00261891",4443073749.22
"2015","00252921",833347471.74
"2015","00253014",4551662844.58
"2015","00263958",2554986871.99
"2015","00251810",3273167583.4
"2015","00250996",543727310.89
"2015","00265209",1156915202.25
"2015","00265365",760575212.95
"2015","00265781",1483904047.17
"2015","00263991",863599606.24
"2015","00232947",1392834382.44
"2015","00232963",547829150.39
"2015","00266094",6458268429.09
"2015","00266230",866918862.06
"2015","00266027",1951769856.72
"2015","00081531",3838743623.23
"2015","00266621",2026363778
"2015","00233129",1779611820.54
"2015","00233242",423670864.61
"2015","00231401",3652060495.49
"2015","00235334",788513762.17
"2015","00234516",6383299528.61
"2015","00234877",2080336528.91
"2015","00236021",2090711925.58
"2015","00236195",1864598102.42
"2015","00235440",5658493520.25
"2015","00238309",798625294.67
"2015","00236977",1482510706.02
"2015","00237051",2347351113.12
"2015","00237108",1232353133.44
"2015","00238295",4237234480.1
"2015","00239402",1209142151.08
"2015","00239500",1458998514.06
"2015","00239640",1938963110.81
"2015","00240079",2013448092.88
"2015","00240702",2247161780.84
"2015","00241121",777788661.35
"2015","00243132",3791867372.04
"2015","00243272",1259349857.45
"2015","00242098",835272372.69
"2015","00244309",1660177319.52
"2016","00253901",808926199.42
"2016","00253979",3235981866.43
"2016","00254061",1447597951.33
"2016","00254843",2114552835.02
"2016","00254657",9798007241.6
"2016","00259438",238018075.99
"2016","00259586",2056980603.14
"2016","00260428",3112420472.92
"2016","00262340",3870848245.8
"2016","00262587",443803166.78
"2016","00260771",1013338341.95
"2016","00262781",609247390.01
"2016","00262633",597866743.8
"2016","00262978",10221575263.2
"2016","00276111",458202480.5
"2016","00276227",935923328.21
"2016","00275808",901879623.23
"2016","00253383",773947865.23
"2016","00253316",2987726151.37
"2016","00255513",980867168.64
"2016","00255661",3101597234.53
"2016","00075370",27177599412.02
"2016","00256129",1706862869.63
"2016","00256455",521134457.13
"2016","00257125",854805873.29
"2016","00257265",475732658.23
"2016","00256986",618169586.31
"2016","00257966",421865300.98
"2016","00258199",463733116.99
"2016","00259047",1848157509.77
"2016","00260231",2609252131.13
"2016","00260177",1042634334.3
"2016","00261718",1089281235
"2016","00261602",876946092.19
"2016","00261238",3901106644.79
"2016","00261912",2115891655.11
"2016","00261891",4397527076.52
"2016","00263958",2644470814.45
"2016","00264334",627079286.54
"2016","00263991",784693071.85
"2016","00265209",1177170967.21
"2016","00265365",761774057.75
"2016","00265781",1478464409.38
"2016","00266027",1926962355.58
"2016","00266094",6364521171.5
"2016","00266230",820752558.18
"2016","00266621",2010276755
"2016","00081531",3737216588.02
"2016","00245585",837418496.78
"2016","00244732",9009582172.74
"2016","00245551",422610881.52
"2016","00245836",1832980180.56
"2016","00245941",974627379.57
"2016","00246476",659831226.34
"2016","00250627",1781029695.97
"2016","00250805",1095740351.11
"2016","00251984",761204399.6
"2016","00250996",551864499.7
"2016","00247618",2325579737.3
"2016","00246875",2701126886.34
"2016","00249831",786435502.93
"2016","00249998",4131546380.64
"2016","00251810",3233066672.15
"2016","00252921",851689153.42
"2016","00253014",4556287437.08
"2016","00232947",1406236334.56
"2016","00232963",545808048.29
"2016","00233242",503416634.14
"2016","00231401",3660065885.4
"2016","00233129",1738283685.34
"2016","00234516",6432180930.22
"2016","00234877",2068791152.87
"2016","00235334",833654103.05
"2016","00236021",2141092921.38
"2016","00236195",1910462248.43
"2016","00235440",5641821316.78
"2016","00239640",1887161716.83
"2016","00240079",2008189762.52
"2016","00238309",796357197.4
"2016","00239402",1221533455.75
"2016","00238295",4253384292.66
"2016","00239500",1455638507.52
"2016","00237108",1259998072.14
"2016","00236977",1506244469.95
"2016","00237051",2254757676.85
"2016","00241121",780654548.65
"2016","00240702",2301567390.11
"2016","00243132",3462765820.92
"2016","00243272",1546147441.28
"2016","00242098",831817376.5
"2016","00244309",1647268034.65
"2017","00253901",713889637.87
"2017","00253979",3247851156.91
"2017","00254061",1430998765.18
"2017","00254843",2170316352.52
"2017","00254657",9643791384.38
"2017","00259586",2165859365.74
"2017","00259438",257578198.16
"2017","00260428",3150396290.07
"2017","00260771",1004847359.67
"2017","00262587",488391284.24
"2017","00262340",3891488214.97
"2017","00262781",635748837.14
"2017","00262633",593650766.07
