"ico","year","Class of revenue","Revenue_CZK"
"00297534","2007/12","Daňové příjmy",713919750
"00297534","2007/12","Kapitálové příjmy",16462310
"00297534","2007/12","Nedaňové příjmy",211218890
"00297569","2007/12","Daňové příjmy",216270530
"00297569","2007/12","Kapitálové příjmy",15875980
"00297569","2007/12","Nedaňové příjmy",226473550
"00297577","2007/12","Daňové příjmy",324875110
"00297577","2007/12","Kapitálové příjmy",26441600
"00297577","2007/12","Nedaňové příjmy",73007510
"00297755","2007/12","Daňové příjmy",66261180
"00297755","2007/12","Kapitálové příjmy",6897810
"00297755","2007/12","Nedaňové příjmy",30654530
"00297852","2007/12","Daňové příjmy",109451510
"00297852","2007/12","Kapitálové příjmy",9573530
"00297852","2007/12","Nedaňové příjmy",30040130
"00298077","2007/12","Daňové příjmy",230990970
"00298077","2007/12","Kapitálové příjmy",11607660
"00298077","2007/12","Nedaňové příjmy",16488380
"00298212","2007/12","Daňové příjmy",257106200
"00298212","2007/12","Kapitálové příjmy",84069980
"00298212","2007/12","Nedaňové příjmy",73741390
"00298221","2007/12","Daňové příjmy",65541590
"00298221","2007/12","Kapitálové příjmy",6928170
"00298221","2007/12","Nedaňové příjmy",16989330
"00299138","2007/12","Daňové příjmy",115434700
"00299138","2007/12","Kapitálové příjmy",12690740
"00299138","2007/12","Nedaňové příjmy",29073210
"00299308","2007/12","Daňové příjmy",1484406450
"00299308","2007/12","Kapitálové příjmy",1911930
"00299308","2007/12","Nedaňové příjmy",77267570
"00299529","2007/12","Daňové příjmy",150669530
"00299529","2007/12","Nedaňové příjmy",28520550
"00299634","2007/12","Daňové příjmy",129877920
"00299634","2007/12","Kapitálové příjmy",22888280
"00299634","2007/12","Nedaňové příjmy",18255280
"00300063","2007/12","Daňové příjmy",141337430
"00300063","2007/12","Kapitálové příjmy",705500
"00300063","2007/12","Nedaňové příjmy",24230680
"00300292","2007/12","Daňové příjmy",59288840
"00300292","2007/12","Kapitálové příjmy",4242970
"00300292","2007/12","Nedaňové příjmy",9560100
"00300535","2007/12","Daňové příjmy",679893790
"00300535","2007/12","Kapitálové příjmy",68980660
"00300535","2007/12","Nedaňové příjmy",230481490
