"ico","year","lt_tangible_assets_CZK"
"00300292","2009/12",833917580
"00300535","2009/12",6898568550
"00300870","2009/12",584809970
"00301311","2009/12",1414259320
"00301493","2009/12",581051130
"00301825","2009/12",3550671990
"00302724","2009/12",762133620
"00303038","2009/12",1296072540
"00303461","2009/12",2583880650
"00303640","2009/12",987791890
"00304271","2009/12",1285008830
"00304387","2009/12",3304682420
"00304450","2009/12",2046863080
"00845451","2009/12",43543061790
"44992785","2009/12",60963776790
