"year","municipality_id","municipality_name","winner_vote_percentage","party_id","party_name","party_name_short","is_overall_winner","is_winner_in_coalition","winner_vote_percentage_adj","coalition_vote_percentage","coalition_vote_percentage_adj","is_coalition_won"
2006,5302,"Hlinsko",34.79,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.0889274213525,45.95,56.9110725786475,1
2006,5303,"Holice",37.76,53,"Občanská demokratická strana","ODS",1,1,45.3846153846154,49.63,59.6514423076923,1
2006,5304,"Chrudim",37.92,53,"Občanská demokratická strana","ODS",1,1,46.5561694290976,50.3,61.755678330264,1
2006,5305,"Králíky",37.8,7,"Česká strana sociálně demokratická","ČSSD",0,0,48.5175202156334,40.11,51.4824797843666,1
2006,5306,"Lanškroun",38.73,53,"Občanská demokratická strana","ODS",1,1,45.1819878674755,51.75,60.3709752683154,1
2006,5307,"Litomyšl",38.56,53,"Občanská demokratická strana","ODS",1,1,44.9469635155613,57.86,67.4437580137545,1
2006,5308,"Moravská Třebová",40.6,7,"Česká strana sociálně demokratická","ČSSD",0,0,51.2044393996721,38.69,48.7955606003279,0
2006,5309,"Pardubice",40.29,53,"Občanská demokratická strana","ODS",1,1,48.8482056256062,50.78,61.5664403491756,1
2006,5310,"Polička",36.84,53,"Občanská demokratická strana","ODS",1,1,44.2682047584715,53.04,63.7346791636626,1
2006,5311,"Přelouč",35.41,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.479862475442,46.03,56.520137524558,1
2006,5312,"Svitavy",39.89,7,"Česká strana sociálně demokratická","ČSSD",0,0,48.7057387057387,42.01,51.2942612942613,1
2006,5313,"Ústí nad Orlicí",37.31,53,"Občanská demokratická strana","ODS",1,1,44.4749076171177,52.27,62.3077840028609,1
2006,5314,"Vysoké Mýto",36.79,53,"Občanská demokratická strana","ODS",1,1,43.50756859035,52.78,62.4172185430464,1
2006,5315,"Žamberk",43.52,53,"Občanská demokratická strana","ODS",1,1,50.4989556741703,59.16,68.6470178695753,1
2006,6101,"Bystřice nad Pernštejnem",48.05,7,"Česká strana sociálně demokratická","ČSSD",0,0,58.3910560213878,34.24,41.6089439786122,0
2006,6102,"Havlíčkův Brod",34.91,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.4366056986438,45.46,56.5633943013562,1
2006,6103,"Humpolec",33.16,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.6844751728473,46.39,58.3155248271527,1
2006,6104,"Chotěboř",35.44,7,"Česká strana sociálně demokratická","ČSSD",0,0,42.9003752572328,47.17,57.0996247427672,1
2006,6105,"Jihlava",34.65,53,"Občanská demokratická strana","ODS",1,1,41.9389978213508,49.3,59.6707818930041,1
2006,6106,"Moravské Budějovice",34.2,7,"Česká strana sociálně demokratická","ČSSD",0,0,44.3062572872134,42.99,55.6937427127866,1
2006,6107,"Náměšť nad Oslavou",40.12,7,"Česká strana sociálně demokratická","ČSSD",0,0,51.3240373544838,38.05,48.6759626455162,0
2006,6108,"Nové Město na Moravě",38.23,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.7679875493834,45.3,54.2320124506165,1
2006,6109,"Pacov",35.5,7,"Česká strana sociálně demokratická","ČSSD",0,0,44.0064460146275,45.17,55.9935539853725,1
2006,6110,"Pelhřimov",36.2,53,"Občanská demokratická strana","ODS",1,1,42.6735824590357,50.96,60.0730873511729,1
2006,6111,"Světlá nad Sázavou",33.45,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.000385653683,44.34,56.999614346317,1
2006,6112,"Telč",32.74,53,"Občanská demokratická strana","ODS",1,1,40.4697156983931,52,64.2768850432633,1
2006,6113,"Třebíč",34.33,7,"Česká strana sociálně demokratická","ČSSD",0,0,42.9769654481723,45.55,57.0230345518277,1
2006,6114,"Velké Meziříčí",38.28,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.2765957446809,44.44,53.7234042553192,1
2006,6115,"Žďár nad Sázavou",37.8,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.6466610312764,45.01,54.3533389687236,1
2006,6201,"Blansko",36.54,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.7894736842105,43.26,54.2105263157895,1
2006,6202,"Boskovice",38.67,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.8501304244724,45.67,54.1498695755276,1
2006,6203,"Brno",37.74,53,"Občanská demokratická strana","ODS",1,1,43.9911411586432,54.78,63.8535959902086,1
2006,6204,"Břeclav",33.46,53,"Občanská demokratická strana","ODS",1,1,42.0087884494664,46.64,58.556183301946,1
2006,6205,"Bučovice",39.78,7,"Česká strana sociálně demokratická","ČSSD",0,0,51.4884804556044,37.48,48.5115195443955,0
2006,6206,"Hodonín",35.91,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.4729644168672,43.06,54.5270355831328,1
2006,6207,"Hustopeče",35.42,53,"Občanská demokratická strana","ODS",1,1,43.200390291499,51.42,62.7149652396634,1
2006,6208,"Ivančice",30.26,7,"Česká strana sociálně demokratická","ČSSD",0,0,42.6017175841194,40.77,57.3982824158806,1
2006,6209,"Kuřim",35.62,53,"Občanská demokratická strana","ODS",1,1,43.1234866828087,47.97,58.0750605326877,1
2006,6210,"Kyjov",33.83,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.8377442493198,47.03,58.1622557506802,1
2006,6211,"Mikulov",32.57,53,"Občanská demokratická strana","ODS",1,1,43.8653198653199,44.32,59.6902356902357,1
2006,6212,"Moravský Krumlov",32.87,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.2443099592159,43.14,56.7556900407841,1
2006,6213,"Pohořelice",32.57,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.8474099099099,38.47,54.1525900900901,1
2006,6214,"Rosice",32,53,"Občanská demokratická strana","ODS",1,1,41.3009808982963,45.69,58.9700567888487,1
2006,6215,"Slavkov u Brna",34.41,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.0424618320611,49.43,58.9575381679389,1
2006,6216,"Šlapanice",34.76,53,"Občanská demokratická strana","ODS",1,1,40.607476635514,56.21,65.6658878504673,1
2006,6217,"Tišnov",35.72,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.2288515067167,46.91,56.7711484932833,1
2006,6218,"Veselí nad Moravou",36.95,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.8322996774994,43.67,54.1677003225006,1
2006,6219,"Vyškov",41.19,7,"Česká strana sociálně demokratická","ČSSD",0,0,51.7592359889419,38.39,48.2407640110581,0
2006,6220,"Znojmo",34.2,7,"Česká strana sociálně demokratická","ČSSD",0,0,44.577685088634,42.52,55.422314911366,1
2006,6221,"Židlochovice",34.59,53,"Občanská demokratická strana","ODS",1,1,42.6405325443787,48.75,60.0961538461538,1
2006,7101,"Hranice",34.83,53,"Občanská demokratická strana","ODS",1,1,43.3802466060531,48.54,60.4558475526218,1
2006,7102,"Jeseník",35.23,7,"Česká strana sociálně demokratická","ČSSD",0,0,44.549822964087,43.85,55.450177035913,1
2006,7103,"Konice",39.63,7,"Česká strana sociálně demokratická","ČSSD",0,0,48.0713245997089,42.81,51.9286754002911,1
2006,7104,"Lipník nad Bečvou",34.56,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.719165085389,44.49,56.280834914611,1
2006,7105,"Litovel",41.67,7,"Česká strana sociálně demokratická","ČSSD",0,0,52.4282838449924,37.81,47.5717161550076,0
2006,7106,"Mohelnice",35.41,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.9317428760769,40.04,53.0682571239231,1
2006,7107,"Olomouc",36.25,53,"Občanská demokratická strana","ODS",1,1,42.7728613569322,50.54,59.6342182890856,1
2006,7108,"Prostějov",36.57,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.943763518385,46.65,56.056236481615,1
2006,7109,"Přerov",39.46,7,"Česká strana sociálně demokratická","ČSSD",0,0,48.8003957457334,41.4,51.1996042542666,1
2006,7110,"Šternberk",35.2,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.1002816211583,46.47,56.8997183788417,1
2006,7111,"Šumperk",37.96,53,"Občanská demokratická strana","ODS",1,1,45.9731137216907,48.4,58.6169310887732,1
2006,7112,"Uničov",36.74,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.5770791075051,42.14,53.4229208924949,1
2006,7113,"Zábřeh",36.17,7,"Česká strana sociálně demokratická","ČSSD",0,0,44.9651914470413,44.27,55.0348085529587,1
2006,7201,"Bystřice pod Hostýnem",35.26,7,"Česká strana sociálně demokratická","ČSSD",0,0,42.1619036231018,48.37,57.8380963768982,1
2006,7202,"Holešov",36.8,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.3126101182985,42.66,53.6873898817015,1
2006,7203,"Kroměříž",35.05,7,"Česká strana sociálně demokratická","ČSSD",0,0,42.665855143031,47.1,57.334144856969,1
2006,7204,"Luhačovice",34.13,53,"Občanská demokratická strana","ODS",1,1,40.1340545625588,51.14,60.1364063969897,1
2006,7205,"Otrokovice",39.91,7,"Česká strana sociálně demokratická","ČSSD",0,0,47.4046798907234,44.28,52.5953201092766,1
2006,7206,"Rožnov pod Radhoštěm",41.43,53,"Občanská demokratická strana","ODS",1,1,46.587203418419,61,68.5932756100304,1
2006,7207,"Uherské Hradiště",35.25,53,"Občanská demokratická strana","ODS",1,1,42.2712555462286,50.97,61.1224367430148,1
2006,7208,"Uherský Brod",34.03,7,"Česká strana sociálně demokratická","ČSSD",0,0,39.9319408589533,51.19,60.0680591410467,1
2006,7209,"Valašské Klobouky",34.98,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.3670766319773,49.58,58.6329233680227,1
2006,7210,"Valašské Meziříčí",36.65,53,"Občanská demokratická strana","ODS",1,1,42.9861599812339,52.21,61.2362186253812,1
2006,7211,"Vizovice",39.09,53,"Občanská demokratická strana","ODS",1,1,45.3638157131252,59.58,69.1423929441801,1
2006,7212,"Vsetín",38.06,53,"Občanská demokratická strana","ODS",1,1,45.3959923664122,51.95,61.9632633587786,1
2006,7213,"Zlín",41,53,"Občanská demokratická strana","ODS",1,1,48.0374926772115,54.71,64.1007615700059,1
2006,8101,"Bílovec",36.58,7,"Česká strana sociálně demokratická","ČSSD",0,0,47.5620855545443,40.33,52.4379144454557,1
2006,8102,"Bohumín",47,7,"Česká strana sociálně demokratická","ČSSD",0,0,58.5305105853051,33.3,41.4694894146949,0
2006,8103,"Bruntál",36.76,7,"Česká strana sociálně demokratická","ČSSD",0,0,50.2803993981672,36.35,49.7196006018329,0
2006,8104,"Český Těšín",40.69,7,"Česká strana sociálně demokratická","ČSSD",0,0,49.8529772114678,40.93,50.1470227885322,1
2006,8105,"Frenštát pod Radhoštěm",36.75,53,"Občanská demokratická strana","ODS",1,1,44.8882374496152,49.24,60.144130939294,1
2006,8106,"Frýdek-Místek",41.9,7,"Česká strana sociálně demokratická","ČSSD",0,0,50.6466819775172,40.83,49.3533180224828,0
2006,8107,"Frýdlant nad Ostravicí",38.29,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.4515346354483,44.14,53.5484653645517,1
2006,8108,"Havířov",47.22,7,"Česká strana sociálně demokratická","ČSSD",0,0,60.577293136626,30.73,39.422706863374,0
2006,8109,"Hlučín",41.52,7,"Česká strana sociálně demokratická","ČSSD",0,0,49.7782040522719,41.89,50.2217959477281,1
2006,8110,"Jablunkov",40.81,7,"Česká strana sociálně demokratická","ČSSD",0,0,48.4736904620501,43.38,51.5263095379499,1
2006,8111,"Karviná",52.83,7,"Česká strana sociálně demokratická","ČSSD",0,0,68.2205578512397,24.61,31.7794421487603,0
2006,8112,"Kopřivnice",35.98,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.8887533544767,46,56.1112466455233,1
2006,8113,"Kravaře",35.9,53,"Občanská demokratická strana","ODS",1,1,41.1272768931149,53.68,61.4961622178944,1
2006,8114,"Krnov",40.76,7,"Česká strana sociálně demokratická","ČSSD",0,0,50.1785054782716,40.47,49.8214945217284,0
2006,8115,"Nový Jičín",34.32,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.5144550622959,48.35,58.4855449377041,1
2006,8116,"Odry",36.43,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.588787385809,43.48,54.411212614191,1
2006,8117,"Opava",37.56,7,"Česká strana sociálně demokratická","ČSSD",0,0,45.1496574107465,45.63,54.8503425892535,1
2006,8118,"Orlová",50.71,7,"Česká strana sociálně demokratická","ČSSD",0,0,66.8820891585334,25.11,33.1179108414666,0
2006,8119,"Ostrava",39.64,7,"Česká strana sociálně demokratická","ČSSD",0,0,49.1323748140803,41.04,50.8676251859197,1
2006,8120,"Rýmařov",39.84,7,"Česká strana sociálně demokratická","ČSSD",0,0,50.2839833396441,39.39,49.7160166603559,0
2006,8121,"Třinec",45.14,7,"Česká strana sociálně demokratická","ČSSD",0,0,54.2026897214217,38.14,45.7973102785783,0
2006,8122,"Vítkov",35.67,7,"Česká strana sociálně demokratická","ČSSD",0,0,49.8114788437369,35.94,50.1885211562631,1
2010,2101,"Benešov",24.92,53,"Občanská demokratická strana","ODS",0,1,29.6843359142347,52.09,62.0488385944014,1
2010,2102,"Beroun",23.41,53,"Občanská demokratická strana","ODS",0,1,27.5638761332862,55.15,64.9358295066525,1
2010,2103,"Brandýs nad Labem-Stará Boleslav",26.24,53,"Občanská demokratická strana","ODS",0,1,30.7259953161592,60.15,70.4332552693208,1
2010,2104,"Čáslav",31.24,7,"Česká strana sociálně demokratická","ČSSD",1,0,37.0054489457474,40.36,47.8085761667851,0
2010,2105,"Černošice",36.46,721,"TOP 09","TOP 09",0,1,42.0191310360724,72.92,84.0382620721447,1
2010,2106,"Český Brod",26.53,53,"Občanská demokratická strana","ODS",0,1,32.2867226481684,56.29,68.5043203115492,1
2010,2107,"Dobříš",25.24,53,"Občanská demokratická strana","ODS",0,1,30.029744199881,54.38,64.6995835812017,1
