,year,municipality_id,municipality_name,winner_vote_percentage,party_id,party_name,party_name_short,is_overall_winner,is_winner_in_coalition,winner_vote_percentage_adj,coalition_vote_percentage,coalition_vote_percentage_adj,is_coalition_won,is_election_year
126,2008,3106,Kaplice,34.72,53,Občanská demokratická strana,ODS,1,1,44.2970145445267,46.65,59.5177341158459,1,0
127,2009,3106,Kaplice,34.72,53,Občanská demokratická strana,ODS,1,1,44.2970145445267,46.65,59.5177341158459,1,0
128,2006,3107,Milevsko,37.37,53,Občanská demokratická strana,ODS,1,1,45.4567570855127,50.53,61.4645420265175,1,1
129,2007,3107,Milevsko,37.37,53,Občanská demokratická strana,ODS,1,1,45.4567570855127,50.53,61.4645420265175,1,0
130,2008,3107,Milevsko,37.37,53,Občanská demokratická strana,ODS,1,1,45.4567570855127,50.53,61.4645420265175,1,0
131,2009,3107,Milevsko,37.37,53,Občanská demokratická strana,ODS,1,1,45.4567570855127,50.53,61.4645420265175,1,0
132,2006,3108,Písek,39.71,53,Občanská demokratická strana,ODS,1,1,47.7226294916476,51.63,62.0478307895686,1,1
133,2007,3108,Písek,39.71,53,Občanská demokratická strana,ODS,1,1,47.7226294916476,51.63,62.0478307895686,1,0
134,2008,3108,Písek,39.71,53,Občanská demokratická strana,ODS,1,1,47.7226294916476,51.63,62.0478307895686,1,0
135,2009,3108,Písek,39.71,53,Občanská demokratická strana,ODS,1,1,47.7226294916476,51.63,62.0478307895686,1,0
136,2006,3109,Prachatice,37.99,53,Občanská demokratická strana,ODS,1,1,45.7821161725717,51.36,61.8944323933478,1,1
137,2007,3109,Prachatice,37.99,53,Občanská demokratická strana,ODS,1,1,45.7821161725717,51.36,61.8944323933478,1,0
138,2008,3109,Prachatice,37.99,53,Občanská demokratická strana,ODS,1,1,45.7821161725717,51.36,61.8944323933478,1,0
139,2009,3109,Prachatice,37.99,53,Občanská demokratická strana,ODS,1,1,45.7821161725717,51.36,61.8944323933478,1,0
140,2006,3110,Soběslav,37.56,53,Občanská demokratická strana,ODS,1,1,46.0124954061007,48.61,59.5491853485238,1,1
141,2007,3110,Soběslav,37.56,53,Občanská demokratická strana,ODS,1,1,46.0124954061007,48.61,59.5491853485238,1,0
142,2008,3110,Soběslav,37.56,53,Občanská demokratická strana,ODS,1,1,46.0124954061007,48.61,59.5491853485238,1,0
143,2009,3110,Soběslav,37.56,53,Občanská demokratická strana,ODS,1,1,46.0124954061007,48.61,59.5491853485238,1,0
144,2006,3111,Strakonice,36.31,53,Občanská demokratická strana,ODS,1,1,43.6785757247684,48.54,58.3904727535186,1,1
145,2007,3111,Strakonice,36.31,53,Občanská demokratická strana,ODS,1,1,43.6785757247684,48.54,58.3904727535186,1,0
146,2008,3111,Strakonice,36.31,53,Občanská demokratická strana,ODS,1,1,43.6785757247684,48.54,58.3904727535186,1,0
147,2009,3111,Strakonice,36.31,53,Občanská demokratická strana,ODS,1,1,43.6785757247684,48.54,58.3904727535186,1,0
148,2006,3112,Tábor,38.34,53,Občanská demokratická strana,ODS,1,1,46.4445790430042,50.87,61.6232586311327,1,1
149,2007,3112,Tábor,38.34,53,Občanská demokratická strana,ODS,1,1,46.4445790430042,50.87,61.6232586311327,1,0
150,2008,3112,Tábor,38.34,53,Občanská demokratická strana,ODS,1,1,46.4445790430042,50.87,61.6232586311327,1,0
